date,Beherbergung,Hotels,Ferineunterkuenfte,Campingplaetze,Gastronomie,Caterer,Ausschank
2020/01/01,0.3,0.1,3.3,1.5,1.9,1.8,-0.4
2020/02/01,0.2,0.2,0.9,-1.2,1.7,1.3,1.8
2020/03/01,-5,-5.3,-2.6,-5,-5.8,-2.4,-12.6
2020/04/01,-22.3,-22.7,-20.4,-23.4,-24.9,-11.4,-27
2020/05/01,-22,-22.3,-21.1,-13.6,-22.2,-13.1,-43.4
2020/06/01,-17.2,-17.6,-15.1,-10.8,-19.3,-13.8,-37.5
2020/07/01,-14.6,-15.2,-11.7,-5.7,-16.3,-14.2,-34.9
2020/08/01,-13.3,-13.9,-10.5,-5.3,-15.3,-14,-34.2
2020/09/01,-12.8,-13.5,-9.8,0.5,-14.5,-14.9,-33.8
2020/10/01,0,0,0,0,0,0,0
2020/11/01,0,0,0,0,0,0,0
2020/12/01,0,0,0,0,0,0,0
